NU_ANO,TP_FAIXA_ETARIA,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2019,1,1.0,AC,157
2019,1,1.0,AL,507
2019,1,1.0,AM,414
2019,1,1.0,AP,268
2019,1,1.0,BA,2259
2019,1,1.0,CE,866
2019,1,1.0,DF,246
2019,1,1.0,ES,209
2019,1,1.0,GO,533
2019,1,1.0,MA,2400
2019,1,1.0,MG,342
2019,1,1.0,MS,122
2019,1,1.0,MT,264
2019,1,1.0,PA,1958
2019,1,1.0,PB,1316
2019,1,1.0,PE,2842
2019,1,1.0,PI,944
2019,1,1.0,PR,611
2019,1,1.0,RJ,807
2019,1,1.0,RN,318
2019,1,1.0,RO,120
2019,1,1.0,RR,62
2019,1,1.0,RS,197
2019,1,1.0,SC,316
2019,1,1.0,SE,526
2019,1,1.0,SP,721
2019,1,1.0,TO,166
2019,1,2.0,AC,11
2019,1,2.0,AL,29
2019,1,2.0,AM,35
2019,1,2.0,AP,20
2019,1,2.0,BA,165
2019,1,2.0,CE,24
2019,1,2.0,DF,11
2019,1,2.0,ES,22
2019,1,2.0,GO,5
2019,1,2.0,MA,181
2019,1,2.0,MG,6
2019,1,2.0,MS,4
2019,1,2.0,MT,12
2019,1,2.0,PA,77
2019,1,2.0,PB,35
2019,1,2.0,PE,151
2019,1,2.0,PI,39
2019,1,2.0,PR,35
2019,1,2.0,RJ,20
2019,1,2.0,RN,4
2019,1,2.0,RO,7
2019,1,2.0,RR,5
2019,1,2.0,RS,5
2019,1,2.0,SC,3
2019,1,2.0,SE,18
2019,1,2.0,SP,8
2019,1,2.0,TO,9
2019,2,1.0,AC,2039
2019,2,1.0,AL,5636
2019,2,1.0,AM,8614
2019,2,1.0,AP,2158
2019,2,1.0,BA,22931
2019,2,1.0,CE,34675
2019,2,1.0,DF,8348
2019,2,1.0,ES,8289
2019,2,1.0,GO,13971
2019,2,1.0,MA,15765
2019,2,1.0,MG,43217
2019,2,1.0,MS,7256
2019,2,1.0,MT,7000
2019,2,1.0,PA,14389
2019,2,1.0,PB,9615
2019,2,1.0,PE,24108
2019,2,1.0,PI,8286
2019,2,1.0,PR,30117
2019,2,1.0,RJ,22369
2019,2,1.0,RN,5370
2019,2,1.0,RO,2809
2019,2,1.0,RR,753
2019,2,1.0,RS,11956
2019,2,1.0,SC,12411
2019,2,1.0,SE,4582
2019,2,1.0,SP,148132
2019,2,1.0,TO,3533
2019,2,2.0,AC,134
2019,2,2.0,AL,237
2019,2,2.0,AM,284
2019,2,2.0,AP,132
2019,2,2.0,BA,1276
2019,2,2.0,CE,1706
2019,2,2.0,DF,133
2019,2,2.0,ES,338
2019,2,2.0,GO,333
2019,2,2.0,MA,1166
2019,2,2.0,MG,1261
2019,2,2.0,MS,284
2019,2,2.0,MT,554
2019,2,2.0,PA,536
2019,2,2.0,PB,289
2019,2,2.0,PE,1036
2019,2,2.0,PI,267
2019,2,2.0,PR,1333
2019,2,2.0,RJ,605
2019,2,2.0,RN,123
2019,2,2.0,RO,128
2019,2,2.0,RR,47
2019,2,2.0,RS,491
2019,2,2.0,SC,257
2019,2,2.0,SE,177
2019,2,2.0,SP,2021
2019,2,2.0,TO,213
2019,3,1.0,AC,1894
2019,3,1.0,AL,6005
2019,3,1.0,AM,10066
2019,3,1.0,AP,1829
2019,3,1.0,BA,22842
2019,3,1.0,CE,40609
2019,3,1.0,DF,8249
2019,3,1.0,ES,10071
2019,3,1.0,GO,16335
2019,3,1.0,MA,13601
2019,3,1.0,MG,46566
2019,3,1.0,MS,5057
2019,3,1.0,MT,7371
2019,3,1.0,PA,14259
2019,3,1.0,PB,8291
2019,3,1.0,PE,21520
2019,3,1.0,PI,7537
2019,3,1.0,PR,14461
2019,3,1.0,RJ,30906
2019,3,1.0,RN,7830
2019,3,1.0,RO,5285
2019,3,1.0,RR,942
2019,3,1.0,RS,24447
2019,3,1.0,SC,17831
2019,3,1.0,SE,4289
2019,3,1.0,SP,54321
2019,3,1.0,TO,3164
2019,3,2.0,AC,139
2019,3,2.0,AL,286
2019,3,2.0,AM,411
2019,3,2.0,AP,110
2019,3,2.0,BA,1375
2019,3,2.0,CE,2378
2019,3,2.0,DF,184
2019,3,2.0,ES,407
2019,3,2.0,GO,396
2019,3,2.0,MA,1119
2019,3,2.0,MG,1450
2019,3,2.0,MS,330
2019,3,2.0,MT,602
2019,3,2.0,PA,583
2019,3,2.0,PB,296
2019,3,2.0,PE,938
2019,3,2.0,PI,280
2019,3,2.0,PR,443
2019,3,2.0,RJ,888
2019,3,2.0,RN,310
2019,3,2.0,RO,251
2019,3,2.0,RR,49
2019,3,2.0,RS,1010
2019,3,2.0,SC,628
2019,3,2.0,SE,267
2019,3,2.0,SP,794
2019,3,2.0,TO,192
2019,4,1.0,AC,559
2019,4,1.0,AL,2255
2019,4,1.0,AM,2846
2019,4,1.0,AP,814
2019,4,1.0,BA,9619
2019,4,1.0,CE,12940
2019,4,1.0,DF,2084
2019,4,1.0,ES,3513
2019,4,1.0,GO,2443
2019,4,1.0,MA,4664
2019,4,1.0,MG,8170
2019,4,1.0,MS,1204
2019,4,1.0,MT,1078
2019,4,1.0,PA,6126
2019,4,1.0,PB,3081
2019,4,1.0,PE,6133
2019,4,1.0,PI,3145
2019,4,1.0,PR,3057
2019,4,1.0,RJ,10050
2019,4,1.0,RN,3447
2019,4,1.0,RO,1617
2019,4,1.0,RR,222
2019,4,1.0,RS,4733
2019,4,1.0,SC,2585
2019,4,1.0,SE,1911
2019,4,1.0,SP,7379
2019,4,1.0,TO,861
2019,4,2.0,AC,36
2019,4,2.0,AL,101
2019,4,2.0,AM,107
2019,4,2.0,AP,62
2019,4,2.0,BA,541
2019,4,2.0,CE,648
2019,4,2.0,DF,50
2019,4,2.0,ES,140
2019,4,2.0,GO,58
2019,4,2.0,MA,424
2019,4,2.0,MG,276
2019,4,2.0,MS,76
2019,4,2.0,MT,82
2019,4,2.0,PA,254
2019,4,2.0,PB,124
2019,4,2.0,PE,308
2019,4,2.0,PI,153
2019,4,2.0,PR,80
2019,4,2.0,RJ,252
2019,4,2.0,RN,178
2019,4,2.0,RO,63
2019,4,2.0,RR,11
2019,4,2.0,RS,143
2019,4,2.0,SC,61
2019,4,2.0,SE,145
2019,4,2.0,SP,89
2019,4,2.0,TO,71
2019,5,1.0,AC,146
2019,5,1.0,AL,834
2019,5,1.0,AM,1047
2019,5,1.0,AP,264
2019,5,1.0,BA,4179
2019,5,1.0,CE,5593
2019,5,1.0,DF,621
2019,5,1.0,ES,1002
2019,5,1.0,GO,623
2019,5,1.0,MA,1672
2019,5,1.0,MG,2120
2019,5,1.0,MS,355
2019,5,1.0,MT,291
2019,5,1.0,PA,3075
2019,5,1.0,PB,1455
2019,5,1.0,PE,1845
2019,5,1.0,PI,1193
2019,5,1.0,PR,846
2019,5,1.0,RJ,3218
2019,5,1.0,RN,1331
2019,5,1.0,RO,490
2019,5,1.0,RR,46
2019,5,1.0,RS,1349
2019,5,1.0,SC,442
2019,5,1.0,SE,906
2019,5,1.0,SP,1570
2019,5,1.0,TO,247
2019,5,2.0,AC,20
2019,5,2.0,AL,34
2019,5,2.0,AM,45
2019,5,2.0,AP,25
2019,5,2.0,BA,269
2019,5,2.0,CE,305
2019,5,2.0,DF,23
2019,5,2.0,ES,28
2019,5,2.0,GO,13
2019,5,2.0,MA,184
2019,5,2.0,MG,60
2019,5,2.0,MS,45
2019,5,2.0,MT,18
2019,5,2.0,PA,144
2019,5,2.0,PB,49
2019,5,2.0,PE,98
2019,5,2.0,PI,59
2019,5,2.0,PR,23
2019,5,2.0,RJ,101
2019,5,2.0,RN,53
2019,5,2.0,RO,21
2019,5,2.0,RR,5
2019,5,2.0,RS,36
2019,5,2.0,SC,11
2019,5,2.0,SE,74
2019,5,2.0,SP,15
2019,5,2.0,TO,17
2019,6,1.0,AC,62
2019,6,1.0,AL,283
2019,6,1.0,AM,449
2019,6,1.0,AP,117
2019,6,1.0,BA,1516
2019,6,1.0,CE,2466
2019,6,1.0,DF,190
2019,6,1.0,ES,296
2019,6,1.0,GO,215
2019,6,1.0,MA,610
2019,6,1.0,MG,718
2019,6,1.0,MS,151
2019,6,1.0,MT,160
2019,6,1.0,PA,1241
2019,6,1.0,PB,620
2019,6,1.0,PE,617
2019,6,1.0,PI,518
2019,6,1.0,PR,321
2019,6,1.0,RJ,1027
2019,6,1.0,RN,486
2019,6,1.0,RO,201
2019,6,1.0,RR,10
2019,6,1.0,RS,432
2019,6,1.0,SC,102
2019,6,1.0,SE,400
2019,6,1.0,SP,597
2019,6,1.0,TO,113
2019,6,2.0,AC,11
2019,6,2.0,AL,14
2019,6,2.0,AM,29
2019,6,2.0,AP,10
2019,6,2.0,BA,87
2019,6,2.0,CE,121
2019,6,2.0,DF,5
2019,6,2.0,ES,3
2019,6,2.0,GO,7
2019,6,2.0,MA,80
2019,6,2.0,MG,11
2019,6,2.0,MS,10
2019,6,2.0,MT,5
2019,6,2.0,PA,43
2019,6,2.0,PB,22
2019,6,2.0,PE,42
2019,6,2.0,PI,37
2019,6,2.0,PR,13
2019,6,2.0,RJ,40
2019,6,2.0,RN,15
2019,6,2.0,RO,6
2019,6,2.0,RR,2
2019,6,2.0,RS,9
2019,6,2.0,SE,38
2019,6,2.0,SP,7
2019,6,2.0,TO,5
2019,6,1.0,AC,46
2019,6,1.0,AL,170
2019,6,1.0,AM,263
2019,6,1.0,AP,73
2019,6,1.0,BA,689
2019,6,1.0,CE,1467
2019,6,1.0,DF,73
2019,6,1.0,ES,149
2019,6,1.0,GO,151
2019,6,1.0,MA,302
2019,6,1.0,MG,416
2019,6,1.0,MS,91
2019,6,1.0,MT,67
2019,6,1.0,PA,680
2019,6,1.0,PB,323
2019,6,1.0,PE,314
2019,6,1.0,PI,221
2019,6,1.0,PR,182
2019,6,1.0,RJ,567
2019,6,1.0,RN,240
2019,6,1.0,RO,130
2019,6,1.0,RR,10
2019,6,1.0,RS,228
2019,6,1.0,SC,73
2019,6,1.0,SE,184
2019,6,1.0,SP,433
2019,6,1.0,TO,53
2019,6,2.0,AC,5
2019,6,2.0,AL,8
2019,6,2.0,AM,17
2019,6,2.0,AP,12
2019,6,2.0,BA,51
2019,6,2.0,CE,74
2019,6,2.0,DF,2
2019,6,2.0,ES,3
2019,6,2.0,GO,2
2019,6,2.0,MA,47
2019,6,2.0,MG,8
2019,6,2.0,MS,5
2019,6,2.0,MT,4
2019,6,2.0,PA,30
2019,6,2.0,PB,11
2019,6,2.0,PE,16
2019,6,2.0,PI,18
2019,6,2.0,PR,2
2019,6,2.0,RJ,15
2019,6,2.0,RN,10
2019,6,2.0,RO,11
2019,6,2.0,RR,1
2019,6,2.0,RS,5
2019,6,2.0,SE,23
2019,6,2.0,SP,6
2019,6,2.0,TO,1
2019,6,1.0,AC,23
2019,6,1.0,AL,100
2019,6,1.0,AM,172
2019,6,1.0,AP,50
2019,6,1.0,BA,391
2019,6,1.0,CE,991
2019,6,1.0,DF,63
2019,6,1.0,ES,103
2019,6,1.0,GO,112
2019,6,1.0,MA,161
2019,6,1.0,MG,326
2019,6,1.0,MS,60
2019,6,1.0,MT,81
2019,6,1.0,PA,448
2019,6,1.0,PB,206
2019,6,1.0,PE,213
2019,6,1.0,PI,171
2019,6,1.0,PR,165
2019,6,1.0,RJ,324
2019,6,1.0,RN,148
2019,6,1.0,RO,113
2019,6,1.0,RR,9
2019,6,1.0,RS,155
2019,6,1.0,SC,44
2019,6,1.0,SE,109
2019,6,1.0,SP,354
2019,6,1.0,TO,32
2019,6,2.0,AC,4
2019,6,2.0,AL,4
2019,6,2.0,AM,11
2019,6,2.0,AP,6
2019,6,2.0,BA,28
2019,6,2.0,CE,56
2019,6,2.0,DF,2
2019,6,2.0,GO,3
2019,6,2.0,MA,43
2019,6,2.0,MG,4
2019,6,2.0,MS,6
2019,6,2.0,MT,2
2019,6,2.0,PA,19
2019,6,2.0,PB,8
2019,6,2.0,PE,9
2019,6,2.0,PI,7
2019,6,2.0,PR,4
2019,6,2.0,RJ,10
2019,6,2.0,RN,2
2019,6,2.0,RO,3
2019,6,2.0,RR,1
2019,6,2.0,RS,1
2019,6,2.0,SC,1
2019,6,2.0,SE,14
2019,6,2.0,SP,4
2019,6,2.0,TO,3
2019,6,1.0,AC,20
2019,6,1.0,AL,64
2019,6,1.0,AM,131
2019,6,1.0,AP,35
2019,6,1.0,BA,273
2019,6,1.0,CE,755
2019,6,1.0,DF,45
2019,6,1.0,ES,86
2019,6,1.0,GO,101
2019,6,1.0,MA,132
2019,6,1.0,MG,273
2019,6,1.0,MS,56
2019,6,1.0,MT,43
2019,6,1.0,PA,356
2019,6,1.0,PB,146
2019,6,1.0,PE,169
2019,6,1.0,PI,120
2019,6,1.0,PR,116
2019,6,1.0,RJ,235
2019,6,1.0,RN,129
2019,6,1.0,RO,75
2019,6,1.0,RR,4
2019,6,1.0,RS,100
2019,6,1.0,SC,36
2019,6,1.0,SE,89
2019,6,1.0,SP,290
2019,6,1.0,TO,32
2019,6,2.0,AC,6
2019,6,2.0,AM,12
2019,6,2.0,AP,3
2019,6,2.0,BA,11
2019,6,2.0,CE,47
2019,6,2.0,DF,3
2019,6,2.0,ES,1
2019,6,2.0,GO,3
2019,6,2.0,MA,23
2019,6,2.0,MG,2
2019,6,2.0,MS,9
2019,6,2.0,MT,5
2019,6,2.0,PA,10
2019,6,2.0,PB,8
2019,6,2.0,PE,13
2019,6,2.0,PI,7
2019,6,2.0,PR,1
2019,6,2.0,RJ,5
2019,6,2.0,RN,4
2019,6,2.0,RO,3
2019,6,2.0,RS,1
2019,6,2.0,SC,2
2019,6,2.0,SE,7
2019,6,1.0,AC,18
2019,6,1.0,AL,61
2019,6,1.0,AM,95
2019,6,1.0,AP,25
2019,6,1.0,BA,187
2019,6,1.0,CE,569
2019,6,1.0,DF,47
2019,6,1.0,ES,62
2019,6,1.0,GO,76
2019,6,1.0,MA,95
2019,6,1.0,MG,218
2019,6,1.0,MS,35
2019,6,1.0,MT,39
2019,6,1.0,PA,239
2019,6,1.0,PB,113
2019,6,1.0,PE,121
2019,6,1.0,PI,85
2019,6,1.0,PR,84
2019,6,1.0,RJ,178
2019,6,1.0,RN,82
2019,6,1.0,RO,81
2019,6,1.0,RR,6
2019,6,1.0,RS,91
2019,6,1.0,SC,21
2019,6,1.0,SE,59
2019,6,1.0,SP,252
2019,6,1.0,TO,24
2019,6,2.0,AC,1
2019,6,2.0,AL,5
2019,6,2.0,AM,2
2019,6,2.0,AP,1
2019,6,2.0,BA,21
2019,6,2.0,CE,36
2019,6,2.0,GO,3
2019,6,2.0,MA,24
2019,6,2.0,MG,1
2019,6,2.0,MS,3
2019,6,2.0,MT,2
2019,6,2.0,PA,5
2019,6,2.0,PB,6
2019,6,2.0,PE,5
2019,6,2.0,PI,9
2019,6,2.0,PR,3
2019,6,2.0,RJ,5
2019,6,2.0,RN,1
2019,6,2.0,RO,1
2019,6,2.0,RS,3
2019,6,2.0,SE,4
2019,6,2.0,SP,1
2019,6,1.0,AC,53
2019,6,1.0,AL,200
2019,6,1.0,AM,331
2019,6,1.0,AP,104
2019,6,1.0,BA,515
2019,6,1.0,CE,1957
2019,6,1.0,DF,87
2019,6,1.0,ES,202
2019,6,1.0,GO,243
2019,6,1.0,MA,304
2019,6,1.0,MG,667
2019,6,1.0,MS,107
2019,6,1.0,MT,90
2019,6,1.0,PA,783
2019,6,1.0,PB,339
2019,6,1.0,PE,460
2019,6,1.0,PI,299
2019,6,1.0,PR,288
2019,6,1.0,RJ,512
2019,6,1.0,RN,205
2019,6,1.0,RO,250
2019,6,1.0,RR,8
2019,6,1.0,RS,256
2019,6,1.0,SC,79
2019,6,1.0,SE,131
2019,6,1.0,SP,793
2019,6,1.0,TO,49
2019,6,2.0,AC,6
2019,6,2.0,AL,9
2019,6,2.0,AM,22
2019,6,2.0,AP,7
2019,6,2.0,BA,39
2019,6,2.0,CE,114
2019,6,2.0,DF,4
2019,6,2.0,GO,1
2019,6,2.0,MA,72
2019,6,2.0,MG,10
2019,6,2.0,MS,13
2019,6,2.0,MT,8
2019,6,2.0,PA,38
2019,6,2.0,PB,18
2019,6,2.0,PE,31
2019,6,2.0,PI,17
2019,6,2.0,PR,3
2019,6,2.0,RJ,13
2019,6,2.0,RN,3
2019,6,2.0,RO,7
2019,6,2.0,RR,1
2019,6,2.0,RS,8
2019,6,2.0,SC,1
2019,6,2.0,SE,12
2019,6,2.0,SP,3
2019,6,2.0,TO,1
2019,6,1.0,AC,17
2019,6,1.0,AL,107
2019,6,1.0,AM,194
2019,6,1.0,AP,69
2019,6,1.0,BA,301
2019,6,1.0,CE,1270
2019,6,1.0,DF,71
2019,6,1.0,ES,127
2019,6,1.0,GO,163
2019,6,1.0,MA,200
2019,6,1.0,MG,386
2019,6,1.0,MS,68
2019,6,1.0,MT,69
2019,6,1.0,PA,437
2019,6,1.0,PB,215
2019,6,1.0,PE,350
2019,6,1.0,PI,214
2019,6,1.0,PR,125
2019,6,1.0,RJ,278
2019,6,1.0,RN,139
2019,6,1.0,RO,155
2019,6,1.0,RR,4
2019,6,1.0,RS,123
2019,6,1.0,SC,44
2019,6,1.0,SE,62
2019,6,1.0,SP,521
2019,6,1.0,TO,37
2019,6,2.0,AL,8
2019,6,2.0,AM,14
2019,6,2.0,AP,3
2019,6,2.0,BA,22
2019,6,2.0,CE,94
2019,6,2.0,DF,2
2019,6,2.0,GO,3
2019,6,2.0,MA,42
2019,6,2.0,MG,6
2019,6,2.0,MS,9
2019,6,2.0,MT,11
2019,6,2.0,PA,24
2019,6,2.0,PB,14
2019,6,2.0,PE,30
2019,6,2.0,PI,14
2019,6,2.0,PR,2
2019,6,2.0,RJ,4
2019,6,2.0,RN,1
2019,6,2.0,RO,4
2019,6,2.0,RS,1
2019,6,2.0,SE,6
2019,6,2.0,SP,5
2019,6,2.0,TO,1
2019,6,1.0,AC,12
2019,6,1.0,AL,83
2019,6,1.0,AM,120
2019,6,1.0,AP,28
2019,6,1.0,BA,188
2019,6,1.0,CE,839
2019,6,1.0,DF,70
2019,6,1.0,ES,116
2019,6,1.0,GO,131
2019,6,1.0,MA,118
2019,6,1.0,MG,379
2019,6,1.0,MS,55
2019,6,1.0,MT,56
2019,6,1.0,PA,277
2019,6,1.0,PB,140
2019,6,1.0,PE,262
2019,6,1.0,PI,149
2019,6,1.0,PR,99
2019,6,1.0,RJ,239
2019,6,1.0,RN,68
2019,6,1.0,RO,91
2019,6,1.0,RR,4
2019,6,1.0,RS,107
2019,6,1.0,SC,34
2019,6,1.0,SE,35
2019,6,1.0,SP,475
2019,6,1.0,TO,28
2019,6,2.0,AC,1
2019,6,2.0,AM,5
2019,6,2.0,AP,1
2019,6,2.0,BA,19
2019,6,2.0,CE,47
2019,6,2.0,DF,2
2019,6,2.0,GO,1
2019,6,2.0,MA,23
2019,6,2.0,MG,4
2019,6,2.0,MS,5
2019,6,2.0,MT,5
2019,6,2.0,PA,11
2019,6,2.0,PB,6
2019,6,2.0,PE,20
2019,6,2.0,PI,10
2019,6,2.0,PR,1
2019,6,2.0,RJ,5
2019,6,2.0,RN,3
2019,6,2.0,RO,2
2019,6,2.0,RS,3
2019,6,2.0,SE,1
2019,6,2.0,SP,1
2019,6,2.0,TO,1
2019,6,1.0,AC,6
2019,6,1.0,AL,49
2019,6,1.0,AM,59
2019,6,1.0,AP,18
2019,6,1.0,BA,130
2019,6,1.0,CE,514
2019,6,1.0,DF,52
2019,6,1.0,ES,91
2019,6,1.0,GO,82
2019,6,1.0,MA,61
2019,6,1.0,MG,290
2019,6,1.0,MS,42
2019,6,1.0,MT,26
2019,6,1.0,PA,172
2019,6,1.0,PB,104
2019,6,1.0,PE,143
2019,6,1.0,PI,93
2019,6,1.0,PR,65
2019,6,1.0,RJ,175
2019,6,1.0,RN,53
2019,6,1.0,RO,38
2019,6,1.0,RR,2
2019,6,1.0,RS,94
2019,6,1.0,SC,19
2019,6,1.0,SE,13
2019,6,1.0,SP,375
2019,6,1.0,TO,14
2019,6,2.0,AL,2
2019,6,2.0,AM,1
2019,6,2.0,BA,6
2019,6,2.0,CE,37
2019,6,2.0,DF,1
2019,6,2.0,MA,11
2019,6,2.0,MG,5
2019,6,2.0,MS,3
2019,6,2.0,MT,10
2019,6,2.0,PA,7
2019,6,2.0,PB,5
2019,6,2.0,PE,11
2019,6,2.0,PI,10
2019,6,2.0,PR,1
2019,6,2.0,RJ,4
2019,6,2.0,RN,1
2019,6,2.0,RS,1
2019,6,2.0,SE,3
2019,6,2.0,SP,1
2019,6,2.0,TO,1
2019,6,1.0,AC,3
2019,6,1.0,AL,19
2019,6,1.0,AM,35
2019,6,1.0,AP,4
2019,6,1.0,BA,62
2019,6,1.0,CE,302
2019,6,1.0,DF,42
2019,6,1.0,ES,62
2019,6,1.0,GO,44
2019,6,1.0,MA,24
2019,6,1.0,MG,203
2019,6,1.0,MS,19
2019,6,1.0,MT,25
2019,6,1.0,PA,91
2019,6,1.0,PB,57
2019,6,1.0,PE,110
2019,6,1.0,PI,50
2019,6,1.0,PR,34
2019,6,1.0,RJ,152
2019,6,1.0,RN,36
2019,6,1.0,RO,23
2019,6,1.0,RR,3
2019,6,1.0,RS,52
2019,6,1.0,SC,13
2019,6,1.0,SE,13
2019,6,1.0,SP,303
2019,6,1.0,TO,9
2019,6,2.0,AM,2
2019,6,2.0,BA,1
2019,6,2.0,CE,14
2019,6,2.0,MA,5
2019,6,2.0,MG,2
2019,6,2.0,MS,1
2019,6,2.0,MT,1
2019,6,2.0,PA,1
2019,6,2.0,PB,2
2019,6,2.0,PE,5
2019,6,2.0,PI,6
2019,6,2.0,RJ,1
2019,6,2.0,RN,2
2019,6,2.0,RO,1
2019,6,2.0,SP,2
2019,6,1.0,AC,1
2019,6,1.0,AL,11
2019,6,1.0,AM,18
2019,6,1.0,AP,11
2019,6,1.0,BA,31
2019,6,1.0,CE,189
2019,6,1.0,DF,13
2019,6,1.0,ES,37
2019,6,1.0,GO,27
2019,6,1.0,MA,23
2019,6,1.0,MG,131
2019,6,1.0,MS,16
2019,6,1.0,MT,16
2019,6,1.0,PA,50
2019,6,1.0,PB,25
2019,6,1.0,PE,52
2019,6,1.0,PI,34
2019,6,1.0,PR,11
2019,6,1.0,RJ,96
2019,6,1.0,RN,25
2019,6,1.0,RO,10
2019,6,1.0,RS,36
2019,6,1.0,SC,8
2019,6,1.0,SE,1
2019,6,1.0,SP,173
2019,6,1.0,TO,1
2019,6,2.0,AL,1
2019,6,2.0,BA,3
2019,6,2.0,CE,10
2019,6,2.0,MA,4
2019,6,2.0,MG,1
2019,6,2.0,MS,1
2019,6,2.0,MT,1
2019,6,2.0,PB,1
2019,6,2.0,PE,4
2019,6,2.0,PI,4
2019,6,2.0,RJ,3
2019,6,1.0,AL,3
2019,6,1.0,AM,9
2019,6,1.0,AP,4
2019,6,1.0,BA,15
2019,6,1.0,CE,78
2019,6,1.0,DF,12
2019,6,1.0,ES,14
2019,6,1.0,GO,18
2019,6,1.0,MA,3
2019,6,1.0,MG,59
2019,6,1.0,MS,4
2019,6,1.0,MT,5
2019,6,1.0,PA,28
2019,6,1.0,PB,11
2019,6,1.0,PE,31
2019,6,1.0,PI,15
2019,6,1.0,PR,11
2019,6,1.0,RJ,46
2019,6,1.0,RN,6
2019,6,1.0,RO,3
2019,6,1.0,RS,22
2019,6,1.0,SC,9
2019,6,1.0,SE,2
2019,6,1.0,SP,80
2019,6,2.0,AC,1
2019,6,2.0,BA,1
2019,6,2.0,CE,2
2019,6,2.0,MA,1
2019,6,2.0,MS,1
2019,6,2.0,PE,1
2019,6,1.0,AL,1
2019,6,1.0,AM,3
2019,6,1.0,BA,6
2019,6,1.0,CE,37
2019,6,1.0,DF,5
2019,6,1.0,ES,6
2019,6,1.0,GO,6
2019,6,1.0,MA,3
2019,6,1.0,MG,22
2019,6,1.0,MS,2
2019,6,1.0,MT,4
2019,6,1.0,PA,7
2019,6,1.0,PB,7
2019,6,1.0,PE,8
2019,6,1.0,PI,3
2019,6,1.0,PR,5
2019,6,1.0,RJ,24
2019,6,1.0,RN,1
2019,6,1.0,RS,8
2019,6,1.0,SC,1
2019,6,1.0,SP,36
2019,6,1.0,TO,1
2019,6,2.0,BA,1
2019,6,2.0,CE,1
2019,6,2.0,RJ,1
2019,6,2.0,SP,1
2019,6,1.0,AC,1
2019,6,1.0,AL,1
2019,6,1.0,AP,1
