NU_ANO,TP_LOCALIZACAO_ESC,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2019,1.0,0,AC,234
2019,1.0,0,AL,534
2019,1.0,0,AM,705
2019,1.0,0,AP,214
2019,1.0,0,BA,2161
2019,1.0,0,CE,4491
2019,1.0,0,DF,559
2019,1.0,0,ES,651
2019,1.0,0,GO,1106
2019,1.0,0,MA,1462
2019,1.0,0,MG,2279
2019,1.0,0,MS,495
2019,1.0,0,MT,515
2019,1.0,0,PA,1666
2019,1.0,0,PB,820
2019,1.0,0,PE,1782
2019,1.0,0,PI,870
2019,1.0,0,PR,1427
2019,1.0,0,RJ,1339
2019,1.0,0,RN,540
2019,1.0,0,RO,414
2019,1.0,0,RR,78
2019,1.0,0,RS,1275
2019,1.0,0,SC,1035
2019,1.0,0,SE,472
2019,1.0,0,SP,5417
2019,1.0,0,TO,306
2019,1.0,1,AC,4683
2019,1.0,1,AL,15321
2019,1.0,1,AM,23601
2019,1.0,1,AP,5558
2019,1.0,1,BA,62673
2019,1.0,1,CE,99290
2019,1.0,1,DF,19364
2019,1.0,1,ES,23013
2019,1.0,1,GO,33288
2019,1.0,1,MA,37866
2019,1.0,1,MG,99854
2019,1.0,1,MS,13840
2019,1.0,1,MT,15756
2019,1.0,1,PA,41913
2019,1.0,1,PB,24447
2019,1.0,1,PE,56177
2019,1.0,1,PI,21558
2019,1.0,1,PR,48067
2019,1.0,1,RJ,68291
2019,1.0,1,RN,18911
2019,1.0,1,RO,10448
2019,1.0,1,RR,1970
2019,1.0,1,RS,42264
2019,1.0,1,SC,32414
2019,1.0,1,SE,12599
2019,1.0,1,SP,207005
2019,1.0,1,TO,7852
2019,1.0,2,AC,95
2019,1.0,2,AL,413
2019,1.0,2,AM,376
2019,1.0,2,AP,65
2019,1.0,2,BA,929
2019,1.0,2,CE,1748
2019,1.0,2,DF,202
2019,1.0,2,ES,538
2019,1.0,2,GO,591
2019,1.0,2,MA,549
2019,1.0,2,MG,1571
2019,1.0,2,MS,250
2019,1.0,2,MT,279
2019,1.0,2,PA,741
2019,1.0,2,PB,617
2019,1.0,2,PE,951
2019,1.0,2,PI,505
2019,1.0,2,PR,757
2019,1.0,2,RJ,978
2019,1.0,2,RN,345
2019,1.0,2,RO,490
2019,1.0,2,RR,19
2019,1.0,2,RS,482
2019,1.0,2,SC,377
2019,1.0,2,SE,175
2019,1.0,2,SP,2685
2019,1.0,2,TO,141
2019,1.0,3,AC,44
2019,1.0,3,AL,113
2019,1.0,3,AM,174
2019,1.0,3,AP,31
2019,1.0,3,BA,348
2019,1.0,3,CE,552
2019,1.0,3,DF,189
2019,1.0,3,ES,223
2019,1.0,3,GO,280
2019,1.0,3,MA,245
2019,1.0,3,MG,773
2019,1.0,3,MS,106
2019,1.0,3,MT,128
2019,1.0,3,PA,282
2019,1.0,3,PB,177
2019,1.0,3,PE,367
2019,1.0,3,PI,136
2019,1.0,3,PR,334
2019,1.0,3,RJ,572
2019,1.0,3,RN,109
2019,1.0,3,RO,132
2019,1.0,3,RR,19
2019,1.0,3,RS,356
2019,1.0,3,SC,240
2019,1.0,3,SE,61
2019,1.0,3,SP,1644
2019,1.0,3,TO,63
2019,1.0,4,AC,1
2019,1.0,4,AL,8
2019,1.0,4,AM,10
2019,1.0,4,AP,4
2019,1.0,4,BA,25
2019,1.0,4,CE,52
2019,1.0,4,DF,5
2019,1.0,4,ES,10
2019,1.0,4,GO,9
2019,1.0,4,MA,16
2019,1.0,4,MG,30
2019,1.0,4,MS,10
2019,1.0,4,MT,8
2019,1.0,4,PA,19
2019,1.0,4,PB,10
2019,1.0,4,PE,23
2019,1.0,4,PI,8
2019,1.0,4,PR,15
2019,1.0,4,RJ,31
2019,1.0,4,RN,10
2019,1.0,4,RO,7
2019,1.0,4,RS,13
2019,1.0,4,SC,4
2019,1.0,4,SE,5
2019,1.0,4,SP,74
2019,1.0,4,TO,2
2019,2.0,0,AC,12
2019,2.0,0,AL,20
2019,2.0,0,AM,26
2019,2.0,0,AP,7
2019,2.0,0,BA,147
2019,2.0,0,CE,140
2019,2.0,0,DF,12
2019,2.0,0,ES,25
2019,2.0,0,GO,25
2019,2.0,0,MA,147
2019,2.0,0,MG,67
2019,2.0,0,MS,33
2019,2.0,0,MT,44
2019,2.0,0,PA,62
2019,2.0,0,PB,38
2019,2.0,0,PE,85
2019,2.0,0,PI,36
2019,2.0,0,PR,40
2019,2.0,0,RJ,51
2019,2.0,0,RN,14
2019,2.0,0,RO,9
2019,2.0,0,RR,4
2019,2.0,0,RS,49
2019,2.0,0,SC,25
2019,2.0,0,SE,18
2019,2.0,0,SP,91
2019,2.0,0,TO,19
2019,2.0,1,AC,352
2019,2.0,1,AL,694
2019,2.0,1,AM,954
2019,2.0,1,AP,383
2019,2.0,1,BA,3683
2019,2.0,1,CE,5466
2019,2.0,1,DF,395
2019,2.0,1,ES,911
2019,2.0,1,GO,785
2019,2.0,1,MA,3210
2019,2.0,1,MG,2995
2019,2.0,1,MS,744
2019,2.0,1,MT,1233
2019,2.0,1,PA,1676
2019,2.0,1,PB,815
2019,2.0,1,PE,2509
2019,2.0,1,PI,854
2019,2.0,1,PR,1879
2019,2.0,1,RJ,1865
2019,2.0,1,RN,682
2019,2.0,1,RO,480
2019,2.0,1,RR,116
2019,2.0,1,RS,1644
2019,2.0,1,SC,922
2019,2.0,1,SE,754
2019,2.0,1,SP,2815
2019,2.0,1,TO,487
2019,2.0,2,AC,11
2019,2.0,2,AL,19
2019,2.0,2,AM,13
2019,2.0,2,BA,72
2019,2.0,2,CE,93
2019,2.0,2,DF,10
2019,2.0,2,ES,6
2019,2.0,2,GO,13
2019,2.0,2,MA,76
2019,2.0,2,MG,26
2019,2.0,2,MS,22
2019,2.0,2,MT,36
2019,2.0,2,PA,38
2019,2.0,2,PB,35
2019,2.0,2,PE,98
2019,2.0,2,PI,38
2019,2.0,2,PR,17
2019,2.0,2,RJ,38
2019,2.0,2,RN,10
2019,2.0,2,RO,13
2019,2.0,2,RS,19
2019,2.0,2,SC,9
2019,2.0,2,SE,15
2019,2.0,2,SP,25
2019,2.0,2,TO,3
2019,2.0,3,AL,4
2019,2.0,3,AM,3
2019,2.0,3,AP,1
2019,2.0,3,BA,12
2019,2.0,3,CE,14
2019,2.0,3,DF,5
2019,2.0,3,GO,5
2019,2.0,3,MA,16
2019,2.0,3,MG,15
2019,2.0,3,MS,5
2019,2.0,3,MT,9
2019,2.0,3,PA,6
2019,2.0,3,PB,6
2019,2.0,3,PE,26
2019,2.0,3,PI,7
2019,2.0,3,PR,7
2019,2.0,3,RJ,18
2019,2.0,3,RN,4
2019,2.0,3,RO,5
2019,2.0,3,RR,2
2019,2.0,3,RS,4
2019,2.0,3,SC,8
2019,2.0,3,SE,2
2019,2.0,3,SP,26
2019,2.0,3,TO,6
2019,2.0,4,AL,1
2019,2.0,4,AM,1
2019,2.0,4,AP,1
2019,2.0,4,BA,2
2019,2.0,4,CE,3
2019,2.0,4,MG,4
2019,2.0,4,MS,1
2019,2.0,4,PE,2
2019,2.0,4,PI,2
2019,2.0,4,PR,1
2019,2.0,4,RO,1
2019,2.0,4,RS,1
2019,2.0,4,SP,1
2020,1.0,0,AC,157
2020,1.0,0,AL,467
2020,1.0,0,AM,1218
2020,1.0,0,AP,140
2020,1.0,0,BA,1808
2020,1.0,0,CE,4602
2020,1.0,0,DF,605
2020,1.0,0,ES,507
2020,1.0,0,GO,1608
2020,1.0,0,MA,1010
2020,1.0,0,MG,1611
2020,1.0,0,MS,428
2020,1.0,0,MT,481
2020,1.0,0,PA,1262
2020,1.0,0,PB,612
2020,1.0,0,PE,1816
2020,1.0,0,PI,580
2020,1.0,0,PR,1298
2020,1.0,0,RJ,1507
2020,1.0,0,RN,386
2020,1.0,0,RO,425
2020,1.0,0,RR,99
2020,1.0,0,RS,1047
2020,1.0,0,SC,885
2020,1.0,0,SE,731
2020,1.0,0,SP,4647
2020,1.0,0,TO,347
2020,1.0,1,AC,3163
2020,1.0,1,AL,12338
2020,1.0,1,AM,26504
2020,1.0,1,AP,3290
2020,1.0,1,BA,42276
2020,1.0,1,CE,92410
2020,1.0,1,DF,18365
2020,1.0,1,ES,16838
2020,1.0,1,GO,36249
2020,1.0,1,MA,22486
2020,1.0,1,MG,66741
2020,1.0,1,MS,10729
2020,1.0,1,MT,12995
2020,1.0,1,PA,29576
2020,1.0,1,PB,18029
2020,1.0,1,PE,43009
2020,1.0,1,PI,14034
2020,1.0,1,PR,40019
2020,1.0,1,RJ,58399
2020,1.0,1,RN,13590
2020,1.0,1,RO,8461
2020,1.0,1,RR,2122
2020,1.0,1,RS,33932
2020,1.0,1,SC,25623
2020,1.0,1,SE,9699
2020,1.0,1,SP,158085
2020,1.0,1,TO,7157
2020,1.0,2,AC,58
2020,1.0,2,AL,221
2020,1.0,2,AM,399
2020,1.0,2,AP,27
2020,1.0,2,BA,515
2020,1.0,2,CE,1411
2020,1.0,2,DF,136
2020,1.0,2,ES,267
2020,1.0,2,GO,901
2020,1.0,2,MA,199
2020,1.0,2,MG,698
2020,1.0,2,MS,171
2020,1.0,2,MT,197
2020,1.0,2,PA,407
2020,1.0,2,PB,325
2020,1.0,2,PE,704
2020,1.0,2,PI,252
2020,1.0,2,PR,428
2020,1.0,2,RJ,753
2020,1.0,2,RN,166
2020,1.0,2,RO,426
2020,1.0,2,RR,16
2020,1.0,2,RS,252
2020,1.0,2,SC,227
2020,1.0,2,SE,142
2020,1.0,2,SP,1549
2020,1.0,2,TO,170
2020,1.0,3,AC,24
2020,1.0,3,AL,96
2020,1.0,3,AM,184
2020,1.0,3,AP,21
2020,1.0,3,BA,274
2020,1.0,3,CE,379
2020,1.0,3,DF,162
2020,1.0,3,ES,130
2020,1.0,3,GO,352
2020,1.0,3,MA,138
2020,1.0,3,MG,506
2020,1.0,3,MS,99
2020,1.0,3,MT,103
2020,1.0,3,PA,183
2020,1.0,3,PB,116
2020,1.0,3,PE,278
2020,1.0,3,PI,65
2020,1.0,3,PR,284
2020,1.0,3,RJ,440
2020,1.0,3,RN,72
2020,1.0,3,RO,104
2020,1.0,3,RR,26
2020,1.0,3,RS,228
2020,1.0,3,SC,177
2020,1.0,3,SE,67
2020,1.0,3,SP,1058
2020,1.0,3,TO,61
2020,1.0,4,AC,1
2020,1.0,4,AL,3
2020,1.0,4,AM,12
2020,1.0,4,AP,1
2020,1.0,4,BA,16
2020,1.0,4,CE,42
2020,1.0,4,DF,4
2020,1.0,4,ES,2
2020,1.0,4,GO,21
2020,1.0,4,MA,5
2020,1.0,4,MG,26
2020,1.0,4,MS,4
2020,1.0,4,MT,2
2020,1.0,4,PA,11
2020,1.0,4,PB,8
2020,1.0,4,PE,13
2020,1.0,4,PI,6
2020,1.0,4,PR,6
2020,1.0,4,RJ,24
2020,1.0,4,RN,5
2020,1.0,4,RO,10
2020,1.0,4,RS,10
2020,1.0,4,SC,8
2020,1.0,4,SE,6
2020,1.0,4,SP,48
2020,1.0,4,TO,7
2020,2.0,0,AC,14
2020,2.0,0,AL,17
2020,2.0,0,AM,51
2020,2.0,0,AP,5
2020,2.0,0,BA,90
2020,2.0,0,CE,303
2020,2.0,0,DF,14
2020,2.0,0,ES,13
2020,2.0,0,GO,46
2020,2.0,0,MA,74
2020,2.0,0,MG,27
2020,2.0,0,MS,18
2020,2.0,0,MT,26
2020,2.0,0,PA,40
2020,2.0,0,PB,16
2020,2.0,0,PE,90
2020,2.0,0,PI,25
2020,2.0,0,PR,35
2020,2.0,0,RJ,34
2020,2.0,0,RN,10
2020,2.0,0,RO,19
2020,2.0,0,RR,6
2020,2.0,0,RS,26
2020,2.0,0,SC,20
2020,2.0,0,SE,28
2020,2.0,0,SP,54
2020,2.0,0,TO,24
2020,2.0,1,AC,209
2020,2.0,1,AL,561
2020,2.0,1,AM,1671
2020,2.0,1,AP,180
2020,2.0,1,BA,2149
2020,2.0,1,CE,5333
2020,2.0,1,DF,378
2020,2.0,1,ES,602
2020,2.0,1,GO,735
2020,2.0,1,MA,2284
2020,2.0,1,MG,1881
2020,2.0,1,MS,494
2020,2.0,1,MT,898
2020,2.0,1,PA,1380
2020,2.0,1,PB,510
2020,2.0,1,PE,1910
2020,2.0,1,PI,599
2020,2.0,1,PR,943
2020,2.0,1,RJ,1230
2020,2.0,1,RN,430
2020,2.0,1,RO,423
2020,2.0,1,RR,178
2020,2.0,1,RS,972
2020,2.0,1,SC,566
2020,2.0,1,SE,547
2020,2.0,1,SP,1830
2020,2.0,1,TO,500
2020,2.0,2,AC,8
2020,2.0,2,AL,20
2020,2.0,2,AM,36
2020,2.0,2,AP,1
2020,2.0,2,BA,25
2020,2.0,2,CE,104
2020,2.0,2,DF,9
2020,2.0,2,ES,5
2020,2.0,2,GO,15
2020,2.0,2,MA,39
2020,2.0,2,MG,15
2020,2.0,2,MS,16
2020,2.0,2,MT,14
2020,2.0,2,PA,17
2020,2.0,2,PB,21
2020,2.0,2,PE,70
2020,2.0,2,PI,11
2020,2.0,2,PR,11
2020,2.0,2,RJ,25
2020,2.0,2,RN,5
2020,2.0,2,RO,12
2020,2.0,2,RR,3
2020,2.0,2,RS,9
2020,2.0,2,SC,6
2020,2.0,2,SE,14
2020,2.0,2,SP,16
2020,2.0,2,TO,12
2020,2.0,3,AL,5
2020,2.0,3,AM,11
2020,2.0,3,BA,7
2020,2.0,3,CE,22
2020,2.0,3,DF,3
2020,2.0,3,ES,2
2020,2.0,3,GO,4
2020,2.0,3,MA,12
2020,2.0,3,MG,11
2020,2.0,3,MS,3
2020,2.0,3,MT,4
2020,2.0,3,PA,6
2020,2.0,3,PB,3
2020,2.0,3,PE,9
2020,2.0,3,PI,5
2020,2.0,3,PR,2
2020,2.0,3,RJ,9
2020,2.0,3,RN,5
2020,2.0,3,RO,3
2020,2.0,3,RS,2
2020,2.0,3,SC,2
2020,2.0,3,SE,4
2020,2.0,3,SP,12
2020,2.0,3,TO,3
2020,2.0,4,AL,1
2020,2.0,4,AM,4
2020,2.0,4,BA,1
2020,2.0,4,CE,5
2020,2.0,4,GO,1
2020,2.0,4,MA,1
2020,2.0,4,MT,1
2020,2.0,4,SC,1
2021,1.0,0,AC,162
2021,1.0,0,AL,320
2021,1.0,0,AM,1295
2021,1.0,0,AP,107
2021,1.0,0,BA,2010
2021,1.0,0,CE,4871
2021,1.0,0,DF,460
2021,1.0,0,ES,478
2021,1.0,0,GO,2453
2021,1.0,0,MA,924
2021,1.0,0,MG,1456
2021,1.0,0,MS,354
2021,1.0,0,MT,469
2021,1.0,0,PA,984
2021,1.0,0,PB,662
2021,1.0,0,PE,1643
2021,1.0,0,PI,563
2021,1.0,0,PR,1296
2021,1.0,0,RJ,1247
2021,1.0,0,RN,414
2021,1.0,0,RO,320
2021,1.0,0,RR,33
2021,1.0,0,RS,1079
2021,1.0,0,SC,855
2021,1.0,0,SE,326
2021,1.0,0,SP,3412
2021,1.0,0,TO,260
2021,1.0,1,AC,2693
2021,1.0,1,AL,9620
2021,1.0,1,AM,28987
2021,1.0,1,AP,2657
2021,1.0,1,BA,42942
2021,1.0,1,CE,81076
2021,1.0,1,DF,16009
2021,1.0,1,ES,16130
2021,1.0,1,GO,39615
2021,1.0,1,MA,18377
2021,1.0,1,MG,59788
2021,1.0,1,MS,9723
2021,1.0,1,MT,11187
2021,1.0,1,PA,24298
2021,1.0,1,PB,15579
2021,1.0,1,PE,36793
2021,1.0,1,PI,12232
2021,1.0,1,PR,39294
2021,1.0,1,RJ,51445
2021,1.0,1,RN,12164
2021,1.0,1,RO,6652
2021,1.0,1,RR,1615
2021,1.0,1,RS,33057
2021,1.0,1,SC,24840
2021,1.0,1,SE,7919
2021,1.0,1,SP,133374
2021,1.0,1,TO,5664
2021,1.0,2,AC,38
2021,1.0,2,AL,123
2021,1.0,2,AM,492
2021,1.0,2,AP,17
2021,1.0,2,BA,472
2021,1.0,2,CE,943
2021,1.0,2,DF,109
2021,1.0,2,ES,175
2021,1.0,2,GO,1178
2021,1.0,2,MA,119
2021,1.0,2,MG,579
2021,1.0,2,MS,113
2021,1.0,2,MT,121
2021,1.0,2,PA,249
2021,1.0,2,PB,270
2021,1.0,2,PE,362
2021,1.0,2,PI,144
2021,1.0,2,PR,345
2021,1.0,2,RJ,430
2021,1.0,2,RN,147
2021,1.0,2,RO,215
2021,1.0,2,RR,5
2021,1.0,2,RS,214
2021,1.0,2,SC,157
2021,1.0,2,SE,79
2021,1.0,2,SP,862
2021,1.0,2,TO,65
2021,1.0,3,AC,24
2021,1.0,3,AL,62
2021,1.0,3,AM,238
2021,1.0,3,AP,17
2021,1.0,3,BA,298
2021,1.0,3,CE,311
2021,1.0,3,DF,133
2021,1.0,3,ES,113
2021,1.0,3,GO,367
2021,1.0,3,MA,139
2021,1.0,3,MG,443
2021,1.0,3,MS,64
2021,1.0,3,MT,93
2021,1.0,3,PA,138
2021,1.0,3,PB,101
2021,1.0,3,PE,227
2021,1.0,3,PI,73
2021,1.0,3,PR,257
2021,1.0,3,RJ,355
2021,1.0,3,RN,54
2021,1.0,3,RO,72
2021,1.0,3,RR,13
2021,1.0,3,RS,224
2021,1.0,3,SC,202
2021,1.0,3,SE,47
2021,1.0,3,SP,845
2021,1.0,3,TO,45
2021,1.0,4,AC,1
2021,1.0,4,AL,2
2021,1.0,4,AM,23
2021,1.0,4,BA,14
2021,1.0,4,CE,39
2021,1.0,4,DF,6
2021,1.0,4,ES,6
2021,1.0,4,GO,34
2021,1.0,4,MA,9
2021,1.0,4,MG,26
2021,1.0,4,MS,1
